"","Država","Leto","Spremenljivka","Vrednost"
"121","Myanmar",2015,"Happiness.Rank",121
"122","Georgia",2015,"Happiness.Rank",122
"123","Malawi",2015,"Happiness.Rank",123
"124","Sri Lanka",2015,"Happiness.Rank",124
"125","Cameroon",2015,"Happiness.Rank",125
"126","Bulgaria",2015,"Happiness.Rank",126
"127","Egypt",2015,"Happiness.Rank",127
"128","Yemen",2015,"Happiness.Rank",128
"129","Angola",2015,"Happiness.Rank",129
"130","Mali",2015,"Happiness.Rank",130
"131","Congo (Brazzaville)",2015,"Happiness.Rank",131
"132","Uganda",2015,"Happiness.Rank",132
"133","Senegal",2015,"Happiness.Rank",133
"134","Gabon",2015,"Happiness.Rank",134
"135","Niger",2015,"Happiness.Rank",135
"136","Cambodia",2015,"Happiness.Rank",136
"137","Tanzania",2015,"Happiness.Rank",137
"138","Madagascar",2015,"Happiness.Rank",138
"139","Chad",2015,"Happiness.Rank",139
"140","Guinea",2015,"Happiness.Rank",140
"141","Ivory Coast",2015,"Happiness.Rank",141
"142","Burkina Faso",2015,"Happiness.Rank",142
"143","Afghanistan",2015,"Happiness.Rank",143
"144","Rwanda",2015,"Happiness.Rank",144
"145","Benin",2015,"Happiness.Rank",145
"146","Syria",2015,"Happiness.Rank",146
"147","Burundi",2015,"Happiness.Rank",147
"148","Togo",2015,"Happiness.Rank",148
"149","Denmark",2016,"Happiness.Rank",1
"150","Switzerland",2016,"Happiness.Rank",2
"151","Iceland",2016,"Happiness.Rank",3
"152","Norway",2016,"Happiness.Rank",4
"153","Finland",2016,"Happiness.Rank",5
"154","Canada",2016,"Happiness.Rank",6
"155","Netherlands",2016,"Happiness.Rank",7
"156","New Zealand",2016,"Happiness.Rank",8
"157","Australia",2016,"Happiness.Rank",9
"158","Sweden",2016,"Happiness.Rank",10
"159","Israel",2016,"Happiness.Rank",11
"160","Austria",2016,"Happiness.Rank",12
"161","United States",2016,"Happiness.Rank",13
"162","Costa Rica",2016,"Happiness.Rank",14
"163","Germany",2016,"Happiness.Rank",15
"164","Brazil",2016,"Happiness.Rank",16
"165","Belgium",2016,"Happiness.Rank",17
"166","Ireland",2016,"Happiness.Rank",18
"167","Luxembourg",2016,"Happiness.Rank",19
"168","Mexico",2016,"Happiness.Rank",20
"169","Singapore",2016,"Happiness.Rank",21
"170","United Kingdom",2016,"Happiness.Rank",22
"171","Chile",2016,"Happiness.Rank",23
"172","Panama",2016,"Happiness.Rank",24
"173","Argentina",2016,"Happiness.Rank",25
"174","Czech Republic",2016,"Happiness.Rank",26
"175","United Arab Emirates",2016,"Happiness.Rank",27
"176","Uruguay",2016,"Happiness.Rank",28
"177","Malta",2016,"Happiness.Rank",29
"178","Colombia",2016,"Happiness.Rank",30
"179","France",2016,"Happiness.Rank",31
"180","Thailand",2016,"Happiness.Rank",32
"181","Saudi Arabia",2016,"Happiness.Rank",33
"182","Taiwan",2016,"Happiness.Rank",34
"183","Qatar",2016,"Happiness.Rank",35
"184","Spain",2016,"Happiness.Rank",36
"185","Algeria",2016,"Happiness.Rank",37
"186","Guatemala",2016,"Happiness.Rank",38
"187","Kuwait",2016,"Happiness.Rank",39
"188","Bahrain",2016,"Happiness.Rank",40
"189","Trinidad and Tobago",2016,"Happiness.Rank",41
"190","Venezuela",2016,"Happiness.Rank",42
"191","Slovakia",2016,"Happiness.Rank",43
"192","El Salvador",2016,"Happiness.Rank",44
"193","Malaysia",2016,"Happiness.Rank",45
"194","Nicaragua",2016,"Happiness.Rank",46
"195","Uzbekistan",2016,"Happiness.Rank",47
"196","Italy",2016,"Happiness.Rank",48
"197","Ecuador",2016,"Happiness.Rank",49
"198","Japan",2016,"Happiness.Rank",50
"199","Kazakhstan",2016,"Happiness.Rank",51
"200","Moldova",2016,"Happiness.Rank",52
"201","Russia",2016,"Happiness.Rank",53
"202","Poland",2016,"Happiness.Rank",54
"203","South Korea",2016,"Happiness.Rank",55
"204","Bolivia",2016,"Happiness.Rank",56
"205","Lithuania",2016,"Happiness.Rank",57
"206","Belarus",2016,"Happiness.Rank",58
"207","North Cyprus",2016,"Happiness.Rank",59
"208","Slovenia",2016,"Happiness.Rank",60
"209","Peru",2016,"Happiness.Rank",61
"210","Turkmenistan",2016,"Happiness.Rank",62
"211","Mauritius",2016,"Happiness.Rank",63
"212","Libya",2016,"Happiness.Rank",64
"213","Latvia",2016,"Happiness.Rank",65
"214","Cyprus",2016,"Happiness.Rank",66
"215","Paraguay",2016,"Happiness.Rank",67
"216","Romania",2016,"Happiness.Rank",68
"217","Estonia",2016,"Happiness.Rank",69
"218","Jamaica",2016,"Happiness.Rank",70
"219","Croatia",2016,"Happiness.Rank",71
"220","Hong Kong",2016,"Happiness.Rank",72
"221","Kosovo",2016,"Happiness.Rank",73
"222","Turkey",2016,"Happiness.Rank",74
"223","Indonesia",2016,"Happiness.Rank",75
"224","Jordan",2016,"Happiness.Rank",76
"225","Azerbaijan",2016,"Happiness.Rank",77
"226","Philippines",2016,"Happiness.Rank",78
"227","China",2016,"Happiness.Rank",79
"228","Bhutan",2016,"Happiness.Rank",80
"229","Kyrgyzstan",2016,"Happiness.Rank",81
"230","Serbia",2016,"Happiness.Rank",82
"231","Bosnia and Herzegovina",2016,"Happiness.Rank",83
"232","Montenegro",2016,"Happiness.Rank",84
"233","Dominican Republic",2016,"Happiness.Rank",85
"234","Morocco",2016,"Happiness.Rank",86
"235","Hungary",2016,"Happiness.Rank",87
"236","Pakistan",2016,"Happiness.Rank",88
"237","Lebanon",2016,"Happiness.Rank",89
"238","Portugal",2016,"Happiness.Rank",90
"239","Macedonia",2016,"Happiness.Rank",91
"240","Vietnam",2016,"Happiness.Rank",92
"241","Tunisia",2016,"Happiness.Rank",93
"242","Greece",2016,"Happiness.Rank",94
"243","Tajikistan",2016,"Happiness.Rank",95
"244","Mongolia",2016,"Happiness.Rank",96
"245","Nigeria",2016,"Happiness.Rank",97
"246","Honduras",2016,"Happiness.Rank",98
"247","Iran",2016,"Happiness.Rank",99
"248","Zambia",2016,"Happiness.Rank",100
"249","Nepal",2016,"Happiness.Rank",101
"250","Palestinian Territories",2016,"Happiness.Rank",102
"251","Albania",2016,"Happiness.Rank",103
"252","Bangladesh",2016,"Happiness.Rank",104
"253","Sierra Leone",2016,"Happiness.Rank",105
"254","Iraq",2016,"Happiness.Rank",106
"255","Cameroon",2016,"Happiness.Rank",107
"256","Ethiopia",2016,"Happiness.Rank",108
"257","South Africa",2016,"Happiness.Rank",109
"258","Sri Lanka",2016,"Happiness.Rank",110
"259","India",2016,"Happiness.Rank",111
"260","Myanmar",2016,"Happiness.Rank",112
"261","Egypt",2016,"Happiness.Rank",113
"262","Armenia",2016,"Happiness.Rank",114
"263","Kenya",2016,"Happiness.Rank",115
"264","Ukraine",2016,"Happiness.Rank",116
"265","Ghana",2016,"Happiness.Rank",117
"266","Congo (Kinshasa)",2016,"Happiness.Rank",118
"267","Georgia",2016,"Happiness.Rank",119
"268","Congo (Brazzaville)",2016,"Happiness.Rank",120
"269","Senegal",2016,"Happiness.Rank",121
"270","Bulgaria",2016,"Happiness.Rank",122
"271","Mauritania",2016,"Happiness.Rank",123
"272","Zimbabwe",2016,"Happiness.Rank",124
"273","Malawi",2016,"Happiness.Rank",125
"274","Sudan",2016,"Happiness.Rank",126
"275","Gabon",2016,"Happiness.Rank",127
"276","Mali",2016,"Happiness.Rank",128
"277","Haiti",2016,"Happiness.Rank",129
"278","Botswana",2016,"Happiness.Rank",130
"279","Ivory Coast",2016,"Happiness.Rank",131
"280","Cambodia",2016,"Happiness.Rank",132
"281","Angola",2016,"Happiness.Rank",133
"282","Niger",2016,"Happiness.Rank",134
"283","Chad",2016,"Happiness.Rank",135
"284","Burkina Faso",2016,"Happiness.Rank",136
"285","Uganda",2016,"Happiness.Rank",137
"286","Yemen",2016,"Happiness.Rank",138
"287","Madagascar",2016,"Happiness.Rank",139
"288","Tanzania",2016,"Happiness.Rank",140
"289","Liberia",2016,"Happiness.Rank",141
"290","Guinea",2016,"Happiness.Rank",142
"291","Rwanda",2016,"Happiness.Rank",143
"292","Benin",2016,"Happiness.Rank",144
"293","Afghanistan",2016,"Happiness.Rank",145
"294","Togo",2016,"Happiness.Rank",146
"295","Syria",2016,"Happiness.Rank",147
"296","Burundi",2016,"Happiness.Rank",148
"297","Norway",2017,"Happiness.Rank",1
"298","Denmark",2017,"Happiness.Rank",2
"299","Iceland",2017,"Happiness.Rank",3
"300","Switzerland",2017,"Happiness.Rank",4
"301","Finland",2017,"Happiness.Rank",5
"302","Netherlands",2017,"Happiness.Rank",6
"303","Canada",2017,"Happiness.Rank",7
"304","New Zealand",2017,"Happiness.Rank",8
"305","Sweden",2017,"Happiness.Rank",9
"306","Australia",2017,"Happiness.Rank",10
"307","Israel",2017,"Happiness.Rank",11
"308","Costa Rica",2017,"Happiness.Rank",12
"309","Austria",2017,"Happiness.Rank",13
"310","United States",2017,"Happiness.Rank",14
"311","Ireland",2017,"Happiness.Rank",15
"312","Germany",2017,"Happiness.Rank",16
"313","Belgium",2017,"Happiness.Rank",17
"314","Luxembourg",2017,"Happiness.Rank",18
"315","United Kingdom",2017,"Happiness.Rank",19
"316","Chile",2017,"Happiness.Rank",20
"317","United Arab Emirates",2017,"Happiness.Rank",21
"318","Brazil",2017,"Happiness.Rank",22
"319","Czech Republic",2017,"Happiness.Rank",23
"320","Argentina",2017,"Happiness.Rank",24
"321","Mexico",2017,"Happiness.Rank",25
"322","Singapore",2017,"Happiness.Rank",26
"323","Malta",2017,"Happiness.Rank",27
"324","Uruguay",2017,"Happiness.Rank",28
"325","Guatemala",2017,"Happiness.Rank",29
"326","Panama",2017,"Happiness.Rank",30
"327","France",2017,"Happiness.Rank",31
"328","Thailand",2017,"Happiness.Rank",32
"329","Taiwan Province of China",2017,"Happiness.Rank",33
"330","Spain",2017,"Happiness.Rank",34
"331","Qatar",2017,"Happiness.Rank",35
"332","Colombia",2017,"Happiness.Rank",36
"333","Saudi Arabia",2017,"Happiness.Rank",37
"334","Trinidad and Tobago",2017,"Happiness.Rank",38
"335","Kuwait",2017,"Happiness.Rank",39
"336","Slovakia",2017,"Happiness.Rank",40
"337","Bahrain",2017,"Happiness.Rank",41
"338","Malaysia",2017,"Happiness.Rank",42
"339","Nicaragua",2017,"Happiness.Rank",43
"340","Ecuador",2017,"Happiness.Rank",44
"341","El Salvador",2017,"Happiness.Rank",45
"342","Poland",2017,"Happiness.Rank",46
"343","Uzbekistan",2017,"Happiness.Rank",47
"344","Italy",2017,"Happiness.Rank",48
"345","Russia",2017,"Happiness.Rank",49
"346","Japan",2017,"Happiness.Rank",50
"347","Lithuania",2017,"Happiness.Rank",51
"348","Algeria",2017,"Happiness.Rank",52
"349","Latvia",2017,"Happiness.Rank",53
"350","South Korea",2017,"Happiness.Rank",54
"351","Moldova",2017,"Happiness.Rank",55
"352","Romania",2017,"Happiness.Rank",56
"353","Bolivia",2017,"Happiness.Rank",57
"354","Turkmenistan",2017,"Happiness.Rank",58
"355","Kazakhstan",2017,"Happiness.Rank",59
"356","North Cyprus",2017,"Happiness.Rank",60
"357","Slovenia",2017,"Happiness.Rank",61
"358","Peru",2017,"Happiness.Rank",62
"359","Mauritius",2017,"Happiness.Rank",63
"360","Cyprus",2017,"Happiness.Rank",64
"361","Estonia",2017,"Happiness.Rank",65
"362","Belarus",2017,"Happiness.Rank",66
"363","Libya",2017,"Happiness.Rank",67
"364","Turkey",2017,"Happiness.Rank",68
"365","Paraguay",2017,"Happiness.Rank",69
"366","Hong Kong",2017,"Happiness.Rank",70
"367","Philippines",2017,"Happiness.Rank",71
"368","Serbia",2017,"Happiness.Rank",72
"369","Jordan",2017,"Happiness.Rank",73
"370","Hungary",2017,"Happiness.Rank",74
"371","Jamaica",2017,"Happiness.Rank",75
"372","Croatia",2017,"Happiness.Rank",76
"373","Kosovo",2017,"Happiness.Rank",77
"374","China",2017,"Happiness.Rank",78
"375","Pakistan",2017,"Happiness.Rank",79
"376","Indonesia",2017,"Happiness.Rank",80
"377","Venezuela",2017,"Happiness.Rank",81
"378","Montenegro",2017,"Happiness.Rank",82
"379","Morocco",2017,"Happiness.Rank",83
"380","Azerbaijan",2017,"Happiness.Rank",84
"381","Dominican Republic",2017,"Happiness.Rank",85
"382","Greece",2017,"Happiness.Rank",86
"383","Lebanon",2017,"Happiness.Rank",87
"384","Portugal",2017,"Happiness.Rank",88
"385","Bosnia and Herzegovina",2017,"Happiness.Rank",89
"386","Honduras",2017,"Happiness.Rank",90
"387","Macedonia",2017,"Happiness.Rank",91
"388","Vietnam",2017,"Happiness.Rank",92
"389","Nigeria",2017,"Happiness.Rank",93
"390","Tajikistan",2017,"Happiness.Rank",94
"391","Bhutan",2017,"Happiness.Rank",95
"392","Kyrgyzstan",2017,"Happiness.Rank",96
"393","Nepal",2017,"Happiness.Rank",97
"394","Mongolia",2017,"Happiness.Rank",98
"395","South Africa",2017,"Happiness.Rank",99
"396","Tunisia",2017,"Happiness.Rank",100
"397","Palestinian Territories",2017,"Happiness.Rank",101
"398","Egypt",2017,"Happiness.Rank",102
"399","Bulgaria",2017,"Happiness.Rank",103
"400","Sierra Leone",2017,"Happiness.Rank",104
"401","Cameroon",2017,"Happiness.Rank",105
"402","Iran",2017,"Happiness.Rank",106
"403","Albania",2017,"Happiness.Rank",107
"404","Bangladesh",2017,"Happiness.Rank",108
"405","Kenya",2017,"Happiness.Rank",109
"406","Myanmar",2017,"Happiness.Rank",110
"407","Senegal",2017,"Happiness.Rank",111
"408","Zambia",2017,"Happiness.Rank",112
"409","Iraq",2017,"Happiness.Rank",113
"410","Gabon",2017,"Happiness.Rank",114
"411","Ethiopia",2017,"Happiness.Rank",115
"412","Sri Lanka",2017,"Happiness.Rank",116
"413","Armenia",2017,"Happiness.Rank",117
"414","India",2017,"Happiness.Rank",118
"415","Mauritania",2017,"Happiness.Rank",119
"416","Congo (Brazzaville)",2017,"Happiness.Rank",120
"417","Georgia",2017,"Happiness.Rank",121
"418","Congo (Kinshasa)",2017,"Happiness.Rank",122
"419","Mali",2017,"Happiness.Rank",123
"420","Ivory Coast",2017,"Happiness.Rank",124
"421","Cambodia",2017,"Happiness.Rank",125
"422","Sudan",2017,"Happiness.Rank",126
"423","Ghana",2017,"Happiness.Rank",127
"424","Ukraine",2017,"Happiness.Rank",128
"425","Uganda",2017,"Happiness.Rank",129
"426","Burkina Faso",2017,"Happiness.Rank",130
"427","Niger",2017,"Happiness.Rank",131
"428","Malawi",2017,"Happiness.Rank",132
"429","Chad",2017,"Happiness.Rank",133
"430","Zimbabwe",2017,"Happiness.Rank",134
"431","Angola",2017,"Happiness.Rank",135
"432","Afghanistan",2017,"Happiness.Rank",136
"433","Botswana",2017,"Happiness.Rank",137
"434","Benin",2017,"Happiness.Rank",138
"435","Madagascar",2017,"Happiness.Rank",139
"436","Haiti",2017,"Happiness.Rank",140
"437","Yemen",2017,"Happiness.Rank",141
"438","Liberia",2017,"Happiness.Rank",142
"439","Guinea",2017,"Happiness.Rank",143
"440","Togo",2017,"Happiness.Rank",144
"441","Rwanda",2017,"Happiness.Rank",145
"442","Syria",2017,"Happiness.Rank",146
"443","Tanzania",2017,"Happiness.Rank",147
"444","Burundi",2017,"Happiness.Rank",148
"445","Switzerland",2015,"Happiness.Score",7.587
"446","Iceland",2015,"Happiness.Score",7.561
"447","Denmark",2015,"Happiness.Score",7.527
"448","Norway",2015,"Happiness.Score",7.522
"449","Canada",2015,"Happiness.Score",7.427
"450","Finland",2015,"Happiness.Score",7.406
"451","Netherlands",2015,"Happiness.Score",7.378
"452","Sweden",2015,"Happiness.Score",7.364
"453","New Zealand",2015,"Happiness.Score",7.286
"454","Australia",2015,"Happiness.Score",7.284
"455","Israel",2015,"Happiness.Score",7.278
"456","Costa Rica",2015,"Happiness.Score",7.226
"457","Austria",2015,"Happiness.Score",7.2
"458","Mexico",2015,"Happiness.Score",7.187
"459","United States",2015,"Happiness.Score",7.119
"460","Brazil",2015,"Happiness.Score",6.983
"461","Luxembourg",2015,"Happiness.Score",6.946
"462","Ireland",2015,"Happiness.Score",6.94
"463","Belgium",2015,"Happiness.Score",6.937
"464","United Arab Emirates",2015,"Happiness.Score",6.901
"465","United Kingdom",2015,"Happiness.Score",6.867
"466","Venezuela",2015,"Happiness.Score",6.81
"467","Singapore",2015,"Happiness.Score",6.798
"468","Panama",2015,"Happiness.Score",6.786
"469","Germany",2015,"Happiness.Score",6.75
"470","Chile",2015,"Happiness.Score",6.67
"471","Qatar",2015,"Happiness.Score",6.611
"472","France",2015,"Happiness.Score",6.575
"473","Argentina",2015,"Happiness.Score",6.574
"474","Czech Republic",2015,"Happiness.Score",6.505
"475","Uruguay",2015,"Happiness.Score",6.485
"476","Colombia",2015,"Happiness.Score",6.477
"477","Thailand",2015,"Happiness.Score",6.455
"478","Saudi Arabia",2015,"Happiness.Score",6.411
"479","Spain",2015,"Happiness.Score",6.329
"480","Malta",2015,"Happiness.Score",6.302
"481","Taiwan",2015,"Happiness.Score",6.298
"482","Kuwait",2015,"Happiness.Score",6.295
"483","Trinidad and Tobago",2015,"Happiness.Score",6.168
"484","El Salvador",2015,"Happiness.Score",6.13
"485","Guatemala",2015,"Happiness.Score",6.123
"486","Uzbekistan",2015,"Happiness.Score",6.003
"487","Slovakia",2015,"Happiness.Score",5.995
"488","Japan",2015,"Happiness.Score",5.987
"489","South Korea",2015,"Happiness.Score",5.984
"490","Ecuador",2015,"Happiness.Score",5.975
"491","Bahrain",2015,"Happiness.Score",5.96
"492","Italy",2015,"Happiness.Score",5.948
"493","Bolivia",2015,"Happiness.Score",5.89
"494","Moldova",2015,"Happiness.Score",5.889
"495","Paraguay",2015,"Happiness.Score",5.878
"496","Kazakhstan",2015,"Happiness.Score",5.855
"497","Slovenia",2015,"Happiness.Score",5.848
"498","Lithuania",2015,"Happiness.Score",5.833
"499","Nicaragua",2015,"Happiness.Score",5.828
"500","Peru",2015,"Happiness.Score",5.824
"501","Belarus",2015,"Happiness.Score",5.813
"502","Poland",2015,"Happiness.Score",5.791
"503","Malaysia",2015,"Happiness.Score",5.77
"504","Croatia",2015,"Happiness.Score",5.759
"505","Libya",2015,"Happiness.Score",5.754
"506","Russia",2015,"Happiness.Score",5.716
"507","Jamaica",2015,"Happiness.Score",5.709
"508","North Cyprus",2015,"Happiness.Score",5.695
"509","Cyprus",2015,"Happiness.Score",5.689
"510","Algeria",2015,"Happiness.Score",5.605
"511","Kosovo",2015,"Happiness.Score",5.589
"512","Turkmenistan",2015,"Happiness.Score",5.548
"513","Mauritius",2015,"Happiness.Score",5.477
"514","Hong Kong",2015,"Happiness.Score",5.474
"515","Estonia",2015,"Happiness.Score",5.429
"516","Indonesia",2015,"Happiness.Score",5.399
"517","Vietnam",2015,"Happiness.Score",5.36
"518","Turkey",2015,"Happiness.Score",5.332
"519","Kyrgyzstan",2015,"Happiness.Score",5.286
"520","Nigeria",2015,"Happiness.Score",5.268
"521","Bhutan",2015,"Happiness.Score",5.253
"522","Azerbaijan",2015,"Happiness.Score",5.212
"523","Pakistan",2015,"Happiness.Score",5.194
"524","Jordan",2015,"Happiness.Score",5.192
"525","Montenegro",2015,"Happiness.Score",5.192
"526","China",2015,"Happiness.Score",5.14
"527","Zambia",2015,"Happiness.Score",5.129
"528","Romania",2015,"Happiness.Score",5.124
"529","Serbia",2015,"Happiness.Score",5.123
"530","Portugal",2015,"Happiness.Score",5.102
"531","Latvia",2015,"Happiness.Score",5.098
"532","Philippines",2015,"Happiness.Score",5.073
"533","Morocco",2015,"Happiness.Score",5.013
"534","Macedonia",2015,"Happiness.Score",5.007
"535","Albania",2015,"Happiness.Score",4.959
"536","Bosnia and Herzegovina",2015,"Happiness.Score",4.949
"537","Dominican Republic",2015,"Happiness.Score",4.885
"538","Mongolia",2015,"Happiness.Score",4.874
"539","Greece",2015,"Happiness.Score",4.857
"540","Lebanon",2015,"Happiness.Score",4.839
"541","Hungary",2015,"Happiness.Score",4.8
"542","Honduras",2015,"Happiness.Score",4.788
"543","Tajikistan",2015,"Happiness.Score",4.786
"544","Tunisia",2015,"Happiness.Score",4.739
"545","Palestinian Territories",2015,"Happiness.Score",4.715
"546","Bangladesh",2015,"Happiness.Score",4.694
"547","Iran",2015,"Happiness.Score",4.686
"548","Ukraine",2015,"Happiness.Score",4.681
"549","Iraq",2015,"Happiness.Score",4.677
"550","South Africa",2015,"Happiness.Score",4.642
"551","Ghana",2015,"Happiness.Score",4.633
"552","Zimbabwe",2015,"Happiness.Score",4.61
"553","Liberia",2015,"Happiness.Score",4.571
"554","India",2015,"Happiness.Score",4.565
"555","Sudan",2015,"Happiness.Score",4.55
"556","Haiti",2015,"Happiness.Score",4.518
"557","Congo (Kinshasa)",2015,"Happiness.Score",4.517
"558","Nepal",2015,"Happiness.Score",4.514
"559","Ethiopia",2015,"Happiness.Score",4.512
"560","Sierra Leone",2015,"Happiness.Score",4.507
"561","Mauritania",2015,"Happiness.Score",4.436
"562","Kenya",2015,"Happiness.Score",4.419
"563","Armenia",2015,"Happiness.Score",4.35
"564","Botswana",2015,"Happiness.Score",4.332
"565","Myanmar",2015,"Happiness.Score",4.307
"566","Georgia",2015,"Happiness.Score",4.297
"567","Malawi",2015,"Happiness.Score",4.292
"568","Sri Lanka",2015,"Happiness.Score",4.271
"569","Cameroon",2015,"Happiness.Score",4.252
"570","Bulgaria",2015,"Happiness.Score",4.218
"571","Egypt",2015,"Happiness.Score",4.194
"572","Yemen",2015,"Happiness.Score",4.077
"573","Angola",2015,"Happiness.Score",4.033
"574","Mali",2015,"Happiness.Score",3.995
"575","Congo (Brazzaville)",2015,"Happiness.Score",3.989
"576","Uganda",2015,"Happiness.Score",3.931
"577","Senegal",2015,"Happiness.Score",3.904
"578","Gabon",2015,"Happiness.Score",3.896
"579","Niger",2015,"Happiness.Score",3.845
"580","Cambodia",2015,"Happiness.Score",3.819
"581","Tanzania",2015,"Happiness.Score",3.781
"582","Madagascar",2015,"Happiness.Score",3.681
"583","Chad",2015,"Happiness.Score",3.667
